YEAR,LENGTH_BIN_MIN,N
2016,25,9.19
2016,30,3.84
2016,35,8.43
2016,40,4.59
2016,45,1.54
2016,50,3.84
2016,55,3.84
2016,60,3.35
2016,65,0.39
2017,5,1.27
2017,10,16.92
2017,15,10.29
2017,20,13.38
2017,25,2.06
2017,30,8.23
2017,35,12.65
2017,40,17.27
2017,45,21.04
2017,50,17.77
2017,55,19.34
2017,60,15.98
2017,65,7.74
2017,70,1.03
2017,75,1.03
2018,10,0.96
2018,15,19.07
2018,20,9.69
2018,25,3.34
2018,30,6.51
2018,35,3.34
2018,40,6.67
2018,45,9.44
2018,50,10.75
2018,55,12.17
2018,60,8.11
2018,65,4.83
2018,70,1.11
2019,5,13.1
2019,10,35.09
2019,15,4.14
2019,20,6.06
2019,25,23.54
2019,30,29.81
2019,35,7.23
2019,40,13.66
2019,45,15.9
2019,50,40.97
2019,55,26.83
2019,60,29.27
2019,65,10.94
2019,70,4.3
2019,75,1.17
2020,15,2.96
2020,25,0.99
2020,35,1.97
2020,40,15.77
2020,45,13.8
2020,55,2.65
2020,60,3.94
2020,65,3.94
2020,70,0.99
2021,15,15.47
2021,20,21.25
2021,25,12.78
2021,30,3.08
2021,35,7.39
2021,40,13.42
2021,45,8.62
2021,50,12.7
2021,55,14.14
2021,60,11.8
2021,65,5.29
2021,70,2.34
2021,75,1.72
2022,5,8.24
2022,10,35.11
2022,15,48.13
2022,20,29.98
2022,25,21.98
2022,30,14.2
2022,35,34.53
2022,40,28.97
2022,45,24.41
2022,50,18.89
2022,55,21.57
2022,60,18.56
2022,65,9.92
2022,70,6.65
2022,80,0.82
2022,85,1.04
