"year","seas","fleet","catch","catch_se"
-999,1,1,50.78189236,0.01
1949,1,1,50.78189236,0.01
1950,1,1,51.510361112,0.01
1951,1,1,56.406886752,0.01
1952,1,1,53.889904744,0.01
1953,1,1,45.612304336,0.01
1954,1,1,46.411987032,0.01
1955,1,1,36.662480584,0.01
1956,1,1,47.3890242,0.01
1957,1,1,66.787339672,0.01
1958,1,1,41.984021928,0.01
1959,1,1,35.288096824,0.01
1960,1,1,32.011348216,0.01
1961,1,1,25.44877916,0.01
1962,1,1,34.319677904,0.01
1963,1,1,41.920519048,0.01
1964,1,1,41.925962152,0.01
1965,1,1,46.975348296,0.01
1966,1,1,32.391458312,0.01
1967,1,1,54.969000112,0.01
1968,1,1,38.588432216,0.01
1969,1,1,38.983510848,0.01
1970,1,1,31.61082648,0.01
1971,1,1,26.818173408,0.01
1972,1,1,53.457631568,0.01
1973,1,1,42.345534752,0.01
1974,1,1,61.367822456,0.01
1975,1,1,52.700132928,0.01
1976,1,1,47.848966488,0.01
1977,1,1,48.229983768,0.01
1978,1,1,70.144374064,0.01
1979,1,1,66.229421512,0.01
1980,1,1,68.517793152,0.01
1981,1,1,89.524092264,0.01
1982,1,1,80.615998976,0.01
1983,1,1,104.549780856,0.01
1984,1,1,71.999111752,0.01
1985,1,1,89.296842672,0.01
1986,1,1,78.794373504,0.01
1987,1,1,117.123351096,0.01
1988,1,1,136.785657112,0.01
1989,1,1,140.414846704,0.01
1990,1,1,95.254773592,0.01
1991,1,1,61.923019064,0.01
1992,1,1,78.234187384,0.01
1993,1,1,60.868871256,0.01
1994,1,1,78.754911,0.01
1995,1,1,85.41590952,0.01
1996,1,1,63.39775551808,0.01
1997,1,1,72.798454254,0.01
1998,1,1,67.89429466064,0.01
1999,1,1,47.16830179688,0.01
2000,1,1,75.7669417388,0.01
2001,1,1,56.69569331432,0.01
2002,1,1,49.0053085736,0.01
2003,1,1,58.4420179784,0.01
2004,1,1,40.0780737032,0.01
2005,1,1,47.37258149,0.01
2006,1,1,34.47964619464,0.01
2007,1,1,41.91121587608,0.01
2008,1,1,43.6342349832,0.01
2009,1,1,60.4938413904,0.01
2010,1,1,47.824245724,0.01
2011,1,1,67.7879182648,0.01
2012,1,1,47.852595224,0.01
2013,1,1,43.5615695448,0.01
2014,1,1,72.9389997352,0.01
2015,1,1,70.1186553976,0.01
2016,1,1,62.3485790784,0.01
2017,1,1,61.374626336,0.01
2018,1,1,54.125545788,0.01
2019,1,1,31.7820121008,0.01
2020,1,1,29.194088304,0.01
2021,1,1,25.74588192,0.01
2022,1,1,37.1687799744,0.01
2023,1,1,44.607598056,0.01
-999,1,3,0,0.01
1949,1,3,91.4640006496848,0.01
1950,1,3,92.8691909268304,0.01
1951,1,3,101.595259378162,0.01
1952,1,3,97.0618866601152,0.01
1953,1,3,82.1529809076968,0.01
1954,1,3,83.5933009780584,0.01
1955,1,3,66.033323938172,0.01
1956,1,3,85.3530567280544,0.01
1957,1,3,120.291643225966,0.01
1958,1,3,75.6180289820536,0.01
1959,1,3,63.5579014353472,0.01
1960,1,3,57.6561021624736,0.01
1961,1,3,45.8361641442656,0.01
1962,1,3,61.8136681479016,0.01
1963,1,3,75.5036530377016,0.01
1964,1,3,75.5134567030344,0.01
1965,1,3,84.6079790699456,0.01
1966,1,3,58.3407239448424,0.01
1967,1,3,99.0054609309848,0.01
1968,1,3,69.502183273116,0.01
1969,1,3,70.2137651124704,0.01
1970,1,3,56.9347166577864,0.01
1971,1,3,48.3025999009496,0.01
1972,1,3,96.2833132286112,0.01
1973,1,3,76.269154945668,0.01
1974,1,3,110.530472387531,0.01
1975,1,3,77.2419524346032,0.01
1976,1,3,70.1316559793488,0.01
1977,1,3,70.6901084707248,0.01
1978,1,3,102.80976733493,0.01
1979,1,3,97.0716683715952,0.01
1980,1,3,100.425707196668,0.01
1981,1,3,131.214387744052,0.01
1982,1,3,118.157902323465,0.01
1983,1,3,153.237359210526,0.01
1984,1,3,105.528234092865,0.01
1985,1,3,130.88131073861,0.01
1986,1,3,115.487967732289,0.01
1987,1,3,171.666290201236,0.01
1988,1,3,200.485096215688,0.01
1989,1,3,205.80435585585,0.01
1990,1,3,139.613778601954,0.01
1991,1,3,90.7598259676904,0.01
1992,1,3,114.666909649366,0.01
1993,1,3,89.2147741807216,0.01
1994,1,3,115.430127993768,0.01
1995,1,3,125.193073601622,0.01
1996,1,3,92.9213294675032,0.01
1997,1,3,106.699820815915,0.01
1998,1,3,99.5118529448712,0.01
1999,1,3,69.0152430531984,0.01
2000,1,3,111.050697324486,0.01
2001,1,3,83.2115232964296,0.01
2002,1,3,71.7260510462904,0.01
2003,1,3,85.6632093752536,0.01
2004,1,3,41.5460995630107,0.01
2005,1,3,49.0108071065424,0.01
2006,1,3,35.6659311582176,0.01
2007,1,3,43.3853936817169,0.01
2008,1,3,45.170973889375,0.01
2009,1,3,62.6026365472696,0.01
2010,1,3,49.491382977108,0.01
2011,1,3,70.1509824912072,0.01
2012,1,3,49.5207207633576,0.01
2013,1,3,45.0801113469093,0.01
2014,1,3,75.48162896886,0.01
2015,1,3,72.5629683838232,0.01
2016,1,3,64.52202978326,0.01
2017,1,3,63.5141253621456,0.01
2018,1,3,56.012344265744,0.01
2019,1,3,32.8899224539822,0.01
2020,1,3,30.211784492729,0.01
2021,1,3,26.6433747863065,0.01
2022,1,3,38.4644712603388,0.01
2023,1,3,46.1626040554864,0.01
